Test Type,Transaction ID,Patient ID,Operation,Start Time,End Time,Duration (seconds),Status
FULL_CYCLE,60,CLOUD_FC_20260219_183630_P000060,CREATE,1771526204.581590027,1771526204.583025876,.113506277,SUCCESS
FULL_CYCLE,60,CLOUD_FC_20260219_183630_P000060,CONSENT,1771526204.698725728,1771526204.700144577,.108091193,SUCCESS
FULL_CYCLE,61,CLOUD_FC_20260219_183630_P000061,CREATE,1771526204.838082489,1771526204.839706844,.129519425,SUCCESS
FULL_CYCLE,61,CLOUD_FC_20260219_183630_P000061,CONSENT,1771526204.960684177,1771526204.962095025,.112936958,SUCCESS
FULL_CYCLE,62,CLOUD_FC_20260219_183630_P000062,CREATE,1771526205.097807562,1771526205.099790129,.126900735,SUCCESS
FULL_CYCLE,62,CLOUD_FC_20260219_183630_P000062,CONSENT,1771526205.229074646,1771526205.230531496,.121042635,SUCCESS
FULL_CYCLE,63,CLOUD_FC_20260219_183630_P000063,CREATE,1771526205.354901744,1771526205.357575636,.115512746,SUCCESS
FULL_CYCLE,63,CLOUD_FC_20260219_183630_P000063,CONSENT,1771526205.479098387,1771526205.480522136,.111899923,SUCCESS
FULL_CYCLE,64,CLOUD_FC_20260219_183630_P000064,CREATE,1771526205.599586203,1771526205.601015052,.110459574,SUCCESS
FULL_CYCLE,64,CLOUD_FC_20260219_183630_P000064,CONSENT,1771526205.723611540,1771526205.725281097,.114807722,SUCCESS
FULL_CYCLE,65,CLOUD_FC_20260219_183630_P000065,CREATE,1771526205.849300634,1771526205.850688981,.115432644,SUCCESS
FULL_CYCLE,65,CLOUD_FC_20260219_183630_P000065,CONSENT,1771526205.971035392,1771526205.972412539,.112615447,SUCCESS
FULL_CYCLE,66,CLOUD_FC_20260219_183630_P000066,CREATE,1771526206.124646940,1771526206.126089789,.140829311,SUCCESS
FULL_CYCLE,66,CLOUD_FC_20260219_183630_P000066,CONSENT,1771526206.251250165,1771526206.252626112,.117749922,SUCCESS
FULL_CYCLE,67,CLOUD_FC_20260219_183630_P000067,CREATE,1771526206.380092266,1771526206.381534416,.119130070,SUCCESS
FULL_CYCLE,67,CLOUD_FC_20260219_183630_P000067,CONSENT,1771526206.499201935,1771526206.500554082,.110241066,SUCCESS
FULL_CYCLE,68,CLOUD_FC_20260219_183630_P000068,CREATE,1771526206.621167702,1771526206.622654853,.112205533,SUCCESS
FULL_CYCLE,68,CLOUD_FC_20260219_183630_P000068,CONSENT,1771526206.740780888,1771526206.742846659,.109535142,SUCCESS
FULL_CYCLE,69,CLOUD_FC_20260219_183630_P000069,CREATE,1771526206.862047231,1771526206.863429378,.110330369,SUCCESS
FULL_CYCLE,69,CLOUD_FC_20260219_183630_P000069,CONSENT,1771526206.982488745,1771526206.983904794,.111322003,SUCCESS
FULL_CYCLE,70,CLOUD_FC_20260219_183630_P000070,CREATE,1771526207.106333576,1771526207.107820527,.113965293,SUCCESS
FULL_CYCLE,70,CLOUD_FC_20260219_183630_P000070,CONSENT,1771526207.221069896,1771526207.222378840,.105878517,SUCCESS
FULL_CYCLE,71,CLOUD_FC_20260219_183630_P000071,CREATE,1771526207.355636393,1771526207.357077742,.125318281,SUCCESS
FULL_CYCLE,71,CLOUD_FC_20260219_183630_P000071,CONSENT,1771526207.472147773,1771526207.473708226,.107754681,SUCCESS
FULL_CYCLE,72,CLOUD_FC_20260219_183630_P000072,CREATE,1771526207.597198245,1771526207.598725397,.115254637,SUCCESS
FULL_CYCLE,72,CLOUD_FC_20260219_183630_P000072,CONSENT,1771526207.714150640,1771526207.715630291,.108074192,SUCCESS
FULL_CYCLE,73,CLOUD_FC_20260219_183630_P000073,CREATE,1771526207.838676394,1771526207.840100643,.114730419,SUCCESS
FULL_CYCLE,73,CLOUD_FC_20260219_183630_P000073,CONSENT,1771526207.960303549,1771526207.961535391,.113017461,SUCCESS
FULL_CYCLE,74,CLOUD_FC_20260219_183630_P000074,CREATE,1771526208.078191876,1771526208.079622425,.108947322,SUCCESS
FULL_CYCLE,74,CLOUD_FC_20260219_183630_P000074,CONSENT,1771526208.196373614,1771526208.197846364,.109185230,SUCCESS
FULL_CYCLE,75,CLOUD_FC_20260219_183630_P000075,CREATE,1771526208.317187741,1771526208.319103406,.111163698,SUCCESS
FULL_CYCLE,75,CLOUD_FC_20260219_183630_P000075,CONSENT,1771526208.435849794,1771526208.437341245,.108901521,SUCCESS
FULL_CYCLE,76,CLOUD_FC_20260219_183630_P000076,CREATE,1771526208.578054152,1771526208.579517602,.129316217,SUCCESS
FULL_CYCLE,76,CLOUD_FC_20260219_183630_P000076,CONSENT,1771526208.696740907,1771526208.698140655,.109788750,SUCCESS
FULL_CYCLE,77,CLOUD_FC_20260219_183630_P000077,CREATE,1771526208.815310757,1771526208.816776107,.109017424,SUCCESS
